origin_date,forecast_date,horizon_step,y_true,y_pred,residual
2020-12-29,2020-12-30,1,225.23,224.62606615473183,0.6039338452681591
2020-12-30,2020-12-31,1,221.7,222.2120540469705,-0.512054046970519
2020-12-31,2021-01-04,1,222.53,222.60522834344107,-0.07522834344106855
2021-01-04,2021-01-05,1,217.26,218.39525005643043,-1.1352500564304364
2021-01-05,2021-01-06,1,212.17,218.4570415733578,-6.287041573357811
2021-01-06,2021-01-07,1,214.04,212.84857733138946,1.191422668610528
2021-01-07,2021-01-08,1,218.68,218.32430282908996,0.35569717091004804
2021-01-08,2021-01-11,1,218.47,219.89004377437294,-1.4200437743729424
2021-01-11,2021-01-12,1,216.5,217.83540706893166,-1.3354070689316586
2021-01-12,2021-01-13,1,214.02,215.2183233917567,-1.198323391756702
2021-01-13,2021-01-14,1,215.91,216.41225805784185,-0.502258057841857
2021-01-14,2021-01-15,1,213.52,213.55920677934543,-0.03920677934542027
2021-01-15,2021-01-19,1,213.75,213.14578239767692,0.6042176023230752
2021-01-19,2021-01-20,1,217.7,216.54870319858497,1.1512968014150147
2021-01-20,2021-01-21,1,224.7,223.90390143897375,0.7960985610262412
2021-01-21,2021-01-22,1,227.08,224.96244081575833,2.117559184241685
2021-01-22,2021-01-25,1,229.12,226.02091340680033,3.0990865931996723
2021-01-25,2021-01-26,1,231.86,229.44557452435984,2.414425475640172
2021-01-26,2021-01-27,1,238.0,232.38069020145647,5.619309798543526
2021-01-27,2021-01-28,1,235.61,233.36317057071915,2.246829429280865
2021-01-28,2021-01-29,1,235.99,238.74211401502694,-2.752114015026933
2021-01-29,2021-02-01,1,235.06,232.37015731225017,2.689842687749831
2021-02-01,2021-02-02,1,241.3,239.29208744719222,2.0079125528077952
2021-02-02,2021-02-03,1,239.57,239.81769534772423,-0.24769534772423185
2021-02-03,2021-02-04,1,242.66,242.68774460966,-0.02774460966000447
2021-02-04,2021-02-05,1,242.23,241.97789977164132,0.2521002283586711
2021-02-05,2021-02-08,1,243.15,242.1115542964294,1.038445703570602
2021-02-08,2021-02-09,1,241.87,242.59763473652646,-0.7276347365264542
2021-02-09,2021-02-10,1,245.0,243.61765554537095,1.3823444546290489
2021-02-10,2021-02-11,1,244.78,243.00166306482208,1.7783369351779186
2021-02-11,2021-02-12,1,243.93,244.49125614238653,-0.5612561423865259
2021-02-12,2021-02-16,1,245.03,245.0106407199446,0.01935928005539722
2021-02-16,2021-02-17,1,241.32,243.96417881375504,-2.6441788137550475
2021-02-17,2021-02-18,1,241.8,244.10238937042146,-2.3023893704214515
2021-02-18,2021-02-19,1,243.75,243.74991471352104,8.528647896355324e-05
2021-02-19,2021-02-22,1,237.42,241.4805385175315,-4.060538517531512
2021-02-22,2021-02-23,1,230.33,235.25749698949255,-4.927496989492539
2021-02-23,2021-02-24,1,230.01,233.54122991818213,-3.5312299181821345
2021-02-24,2021-02-25,1,232.08,234.60026071424574,-2.5202607142457225
2021-02-25,2021-02-26,1,231.53,229.71407470186625,1.8159252981337488
2021-02-26,2021-03-01,1,235.9,232.59041473640366,3.3095852635963467
2021-03-01,2021-03-02,1,237.01,237.03026372259848,-0.020263722598485856
2021-03-02,2021-03-03,1,232.16,234.43650795555618,-2.276507955556184
2021-03-03,2021-03-04,1,226.74,228.27983670752462,-1.5398367075246142
2021-03-04,2021-03-05,1,229.52,227.0275503860613,2.492449613938703
2021-03-05,2021-03-08,1,231.37,231.7441185091475,-0.37411850914750744
2021-03-08,2021-03-09,1,232.88,228.17725938804847,4.702740611951526
2021-03-09,2021-03-10,1,237.0,233.94954671616,3.0504532838399996
2021-03-10,2021-03-11,1,234.96,233.0132305366891,1.9467694633109147
2021-03-11,2021-03-12,1,234.01,237.11003021057223,-3.1000302105722426
2021-03-12,2021-03-15,1,234.96,235.80578417177304,-0.8457841717730332
2021-03-15,2021-03-16,1,236.28,235.10772321397525,1.172276786024753
2021-03-16,2021-03-17,1,236.15,237.9416510401673,-1.7916510401672952
2021-03-17,2021-03-18,1,232.56,237.18509461662512,-4.62509461662512
2021-03-18,2021-03-19,1,231.02,231.1886598211821,-0.16865982118210354
2021-03-19,2021-03-22,1,230.27,230.8203556765185,-0.5503556765184783
2021-03-22,2021-03-23,1,237.49,235.84383464396828,1.6461653560317302
2021-03-23,2021-03-24,1,237.85,238.0092502731614,-0.15925027316140472
2021-03-24,2021-03-25,1,235.3,236.01064287127065,-0.7106428712706361
2021-03-25,2021-03-26,1,231.55,232.93367371784728,-1.383673717847273
2021-03-26,2021-03-29,1,236.59,236.26135055542696,0.32864944457304546
2021-03-29,2021-03-30,1,233.53,235.8092910920813,-2.2792910920813085
2021-03-30,2021-03-31,1,232.91,232.48390151359203,0.426098486407966
